epoch,train_loss,val_loss,train_acc,val_acc,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
1,0.651049957,1.028621839,0.640952381,0.586666667,0.658021134,0.586666667,0.632502308,1,0.645009416,0.739495798
2,0.594917638,0.765407131,0.674285714,0.606666667,0.70419652,0.605839416,0.635272392,0.943181818,0.667961165,0.737777778
3,0.581529067,0.494587292,0.698095238,0.753333333,0.725175527,0.803571429,0.667590028,0.767045455,0.695192308,0.784883721
4,0.579431251,0.568284474,0.693333333,0.723333333,0.721047331,0.738461538,0.6611265,0.818181818,0.689788054,0.776280323
5,0.567469652,0.749199395,0.713809524,0.626666667,0.748453608,0.618518519,0.670360111,0.948863636,0.707257672,0.748878924
6,0.568996777,1.160321957,0.713809524,0.646666667,0.753151261,0.986111111,0.662049861,0.403409091,0.704668305,0.572580645
7,0.553018986,1.177002993,0.71952381,0.666666667,0.749494949,0.975,0.685133887,0.443181818,0.715870719,0.609375
8,0.55362825,0.527811499,0.724285714,0.736666667,0.766384778,0.751295337,0.66943675,0.823863636,0.714637753,0.785907859
9,0.548766828,0.519306524,0.73047619,0.76,0.761904762,0.788888889,0.694367498,0.806818182,0.726570048,0.797752809
10,0.540116953,0.765698031,0.731904762,0.643333333,0.777777778,0.634241245,0.672206833,0.926136364,0.721149084,0.752886836
11,0.52528263,0.493654985,0.741428571,0.776666667,0.774390244,0.903703704,0.703601108,0.693181818,0.737300435,0.784565916
12,0.526325065,0.725201579,0.740952381,0.65,0.778121775,0.629090909,0.69621422,0.982954545,0.734892788,0.767184035
13,0.519613985,0.566782853,0.741428571,0.733333333,0.776639344,0.722222222,0.699907664,0.886363636,0.736279747,0.795918367
14,0.509183911,0.541155834,0.746666667,0.71,0.778002018,0.91588785,0.711911357,0.556818182,0.743490839,0.692579505
15,0.516433471,0.502728619,0.759047619,0.74,0.797116375,0.733333333,0.71468144,0.875,0.753651412,0.797927461
16,0.506624161,0.508709271,0.756666667,0.743333333,0.790650407,0.743842365,0.718374885,0.857954545,0.752781809,0.796833773
17,0.512317661,0.458481524,0.747142857,0.796666667,0.778225806,0.840236686,0.712834718,0.806818182,0.744096386,0.823188406
18,0.520332372,0.474663435,0.736190476,0.77,0.770173647,0.868965517,0.69621422,0.715909091,0.731328807,0.785046729
19,0.501824289,0.652586666,0.761428571,0.7,0.798767967,0.683760684,0.718374885,0.909090909,0.75644142,0.780487805
20,0.50668733,0.496493893,0.757142857,0.776666667,0.778967868,0.804469274,0.738688827,0.818181818,0.758293839,0.811267606
21,0.49814629,0.586855938,0.761428571,0.7,0.796334012,0.68220339,0.722068329,0.914772727,0.757384988,0.781553398
22,0.482194448,0.576279191,0.762380952,0.723333333,0.786836935,0.704845815,0.739612188,0.909090909,0.76249405,0.794044665
23,0.49375453,0.556173469,0.766190476,0.743333333,0.81092437,0.728110599,0.712834718,0.897727273,0.758722359,0.804071247
24,0.474197131,0.508606023,0.766190476,0.766666667,0.803278689,0.773195876,0.723915051,0.852272727,0.761534726,0.810810811
25,0.47990566,0.52690431,0.777619048,0.743333333,0.811111111,0.756476684,0.74145891,0.829545455,0.774722624,0.791327913
26,0.493961154,0.565163605,0.766190476,0.73,0.791338583,0.716894977,0.742382271,0.892045455,0.766079085,0.794936709
27,0.466505216,0.474083148,0.785238095,0.786666667,0.809803922,0.85443038,0.762696214,0.767045455,0.78554446,0.808383234
28,0.469130522,0.781696368,0.786666667,0.68,0.824310521,0.66,0.745152355,0.9375,0.782735209,0.774647887
29,0.466993835,0.524777229,0.780952381,0.736666667,0.808721506,0.748717949,0.753462604,0.829545455,0.780114723,0.787061995
30,0.472597413,0.489297945,0.77047619,0.773333333,0.799601196,0.817647059,0.740535549,0.789772727,0.768935762,0.803468208
31,0.46146844,0.517443332,0.778571429,0.756666667,0.811491935,0.787709497,0.743305633,0.801136364,0.775903614,0.794366197
32,0.455444377,0.509341741,0.78952381,0.746666667,0.834202294,0.763157895,0.738688827,0.823863636,0.783545544,0.792349727
33,0.468007342,0.488380905,0.784761905,0.766666667,0.818365288,0.835443038,0.748845799,0.75,0.782063645,0.790419162
34,0.457339157,0.543229678,0.783333333,0.74,0.811507937,0.75257732,0.755309326,0.829545455,0.782400765,0.789189189
35,0.448974542,0.500705684,0.787142857,0.763333333,0.817365269,0.807017544,0.756232687,0.784090909,0.785611511,0.795389049
36,0.443227835,0.518996118,0.795714286,0.773333333,0.834355828,0.813953488,0.753462604,0.795454545,0.791848617,0.804597701
37,0.45085741,0.523742141,0.79952381,0.756666667,0.831663327,0.797687861,0.766389658,0.784090909,0.797693417,0.790830946
